guests,bedrooms,beds,baths,rating,reviews,is_superhost_no,is_superhost_yes,wifi_yes,kitchen_no,kitchen_yes,parking_no,parking_yes,pool_no,pool_yes,shared_bath_no,shared_bath_yes
3,1,2,1.0,5.0,10,0,1,1,0,1,0,1,0,1,1,0
2,0,1,1.0,0.0,0,0,1,1,1,0,0,1,1,0,1,0
2,1,1,1.5,4.93,15,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.43,7,0,1,1,0,1,0,1,1,0,1,0
4,2,2,2.5,4.14,7,1,0,1,0,1,0,1,0,1,1,0
2,1,2,1.5,0.0,0,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.92,26,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.78,9,0,1,1,0,1,0,1,0,1,1,0
2,0,1,1.0,4.8,15,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.68,25,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.83,107,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.5,5.0,13,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.73,15,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.49,43,1,0,1,0,1,0,1,0,1,1,0
4,2,3,2.5,0.0,0,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.65,23,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.5,4.5,4,1,0,1,0,1,0,1,1,0,1,0
4,2,2,2.5,4.53,15,1,0,1,0,1,0,1,1,0,1,0
3,2,2,2.5,4.72,18,1,0,1,0,1,0,1,0,1,1,0
2,0,1,1.0,4.77,47,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.94,51,1,0,1,0,1,0,1,1,0,1,0
1,1,1,1.0,5.0,3,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.69,26,0,1,1,0,1,0,1,1,0,1,0
4,2,2,2.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.85,113,0,1,1,0,1,1,0,1,0,1,0
2,1,1,1.5,0.0,0,1,0,1,0,1,0,1,1,0,1,0
4,2,1,2.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.7,10,1,0,1,0,1,0,1,1,0,1,0
2,0,0,1.5,4.76,17,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.8,5,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.35,80,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,5.0,11,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.84,31,0,1,1,0,1,0,1,1,0,1,0
6,3,3,2.0,4.89,27,0,1,1,0,1,0,1,1,0,1,0
2,0,2,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
3,1,1,2.0,4.8,10,0,1,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.56,9,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.5,24,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.76,17,1,0,1,1,0,1,0,1,0,1,0
2,1,1,1.0,4.59,27,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.33,6,0,1,1,0,1,0,1,0,1,1,0
2,0,1,1.0,4.76,29,0,1,1,1,0,0,1,1,0,1,0
2,1,1,1.0,4.67,9,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,0,1,1,0,1,0,1,1,0,0,1
1,1,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,0,1
4,1,1,1.5,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.92,13,0,1,1,0,1,0,1,1,0,1,0
2,1,0,1.0,4.57,7,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.86,44,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.84,38,0,1,1,0,1,0,1,0,1,1,0
2,1,1,1.5,4.31,71,1,0,1,0,1,0,1,1,0,1,0
2,1,0,1.0,4.75,16,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.5,4.95,20,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.5,4.62,52,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,5.0,3,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.75,4,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.84,19,0,1,1,0,1,0,1,1,0,1,0
2,1,0,0.5,0.0,0,0,1,1,1,0,1,0,1,0,1,0
1,1,1,1.0,4.8,44,1,0,1,0,1,0,1,1,0,0,1
2,1,1,1.0,5.0,3,1,0,1,0,1,0,1,1,0,1,0
5,3,3,3.5,0.0,0,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,0.0,0,0,1,1,0,1,0,1,1,0,1,0
4,2,2,3.0,0.0,0,0,1,1,0,1,0,1,0,1,1,0
2,0,0,1.0,4.77,13,1,0,1,0,1,0,1,1,0,1,0
1,1,0,1.0,4.31,26,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.69,16,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.5,4.27,15,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,5.0,7,1,0,1,0,1,0,1,1,0,0,1
2,0,1,1.0,4.64,33,1,0,1,0,1,0,1,0,1,1,0
2,0,1,1.0,4.83,12,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,5.0,8,1,0,1,0,1,0,1,0,1,1,0
